workload,model,total_bytes,py_oom_mean,triton_oom_mean,oom_diff,py_batch_p50,triton_batch_p50,batch_rel_diff,py_goodput,triton_goodput,goodput_ratio
agentic_burst,jamba_1_5_mini,1073741824,38.3333,38.3333,0.0000,129.0000,129.0000,0.000000,34.2487,7.6056,0.222068
agentic_burst,jamba_1_5_mini,4294967296,24.6667,24.6667,0.0000,129.0000,129.0000,0.000000,35.8789,8.7030,0.242567
agentic_burst,mamba2_1b3,1073741824,36.6667,36.6667,0.0000,129.0000,129.0000,0.000000,35.9265,7.0645,0.196637
agentic_burst,mamba2_1b3,4294967296,37.0000,37.0000,0.0000,129.0000,129.0000,0.000000,33.5224,7.1469,0.213197
mixed_long,jamba_1_5_mini,1073741824,99.3333,99.3333,0.0000,132.0000,132.0000,0.000000,40.9046,14.5587,0.355918
mixed_long,jamba_1_5_mini,4294967296,75.0000,75.0000,0.0000,132.0000,132.0000,0.000000,29.1570,13.0068,0.446095
mixed_long,mamba2_1b3,1073741824,100.6667,100.6667,0.0000,132.0000,132.0000,0.000000,53.2122,12.8930,0.242293
mixed_long,mamba2_1b3,4294967296,89.3333,89.3333,0.0000,132.0000,132.0000,0.000000,43.3116,10.7852,0.249013
uniform_short,jamba_1_5_mini,1073741824,5.3333,5.3333,0.0000,284.0000,284.0000,0.000000,270.5732,59.6018,0.220280
uniform_short,jamba_1_5_mini,4294967296,0.0000,0.0000,0.0000,284.0000,284.0000,0.000000,199.3460,42.0593,0.210986
uniform_short,mamba2_1b3,1073741824,3.6667,3.6667,0.0000,284.0000,284.0000,0.000000,281.4778,51.0363,0.181315
uniform_short,mamba2_1b3,4294967296,0.0000,0.0000,0.0000,284.0000,284.0000,0.000000,173.0630,44.3286,0.256141
